#name:OC Chili Winter Trail Race
#date:2018-01-27
#time:16-30-49
-100,-99,-98,-97,-96,-95,-94,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4.501623483890011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.052594841023936,0,0.0,0.0,0.0,0,0,4.269127643656046,0,0,0,0,0,0,0,4.2909369008763285,0,0.0,0.0,3.63421631248571,0.0,0,0.0,3.483144509541689,0.0,0.0,3.0597468490641018,4.025506172452819,3.81363100476222,6.149394627545245,5.842949776876166,6.671657960404449,3.9972959392086156,7.017448397437759,4.527026354045775,6.522226838567443,4.514494275429584,8.710755871277417,7.1417868344432085,6.966987708645833,4.302522230383629,7.571247433902415,7.248358803936778,8.904263975263467,3.997291549686697,8.543668158391402,8.478283066466407,8.076534579333778,8.430006660239178,7.749542037017017,5.964951952495438,7.833182504948595,8.290457890661616,9.714299821528666,8.758463843697118,9.57766423399777,8.263712230353292,6.56326112959454,6.991651040717095,6.8817853897411405,6.079056566022084,5.732268012650547,5.77956267923839,5.659766257553816,5.705429354061312,5.598191211080849,6.230320140692065,5.90931462639087,4.883842407649426,4.675775301411818,4.911942367886816,4.318819299573612,5.011061429227654,2.8692791019595387,3.5612964570340866,3.508685088292986,2.0496431756876192,3.228585247590181,4.9808085365850765,0.0,3.184683715092362,4.532555872822682,0.0,3.862427840954038,2.8478943690622898,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,2.179045879726852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.923982613813671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.510488061618405,3.3762175937665644,4.160861242339997,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.961147397373545,0.0,6.500846386076881,3.4366886615524397,4.082592581624019,3.9637768104217708,4.769819679748703,5.343942259496268,5.227202901084195,5.060650141846739,5.224029125376258,5.342600321944532,6.52364241038004,5.533514916507981,5.427501778898964,4.884853171259669,5.777791591486244,5.354230916484006,6.672392347647021,6.650352354033454,4.769391883987185,6.332153350631847,6.351507384925158,6.441913641792178,6.295495604717237,5.905171664934601,5.802740028348747,5.804449306431779,6.5362855418367065,6.342598453935983,5.960519868837494,6.028837741133909,6.055418998278963,5.284166870569123,4.881804415101472,6.094262586222461,5.123696341826189,4.390019940563427,4.574055934024043,4.058848369840065,4.104116963918975,4.276418881725637,4.0796222738064385,4.2891421880056795,3.776144642859182,3.6900709043853848,3.379920480494011,3.1436043943841097,3.995408422962768,4.707501927892216,2.741511641187522,2.148822266151083,3.549380080274057,0.0,2.6656315768900316,1.848053869305906,2.1806917944830584,0.0,3.2192757337214695,2.103830548372048,2.2149674878124985,0,0,0,0,0,0,0,0,3.796474175047903,0,0,3.579350561491137,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.452565862943096,3.0074321819896266,0.0,3.8742525207273775,0,3.852170369077603,0.0,0.0,0.0,0.0,0.0,5.544350222008171,5.7794072405454715,3.903232574186475,4.309961373499819,4.7308006775315254,4.7212177835949065,4.605899759837644,4.7697647624421196,5.83056464402064,3.921217150409737,4.873468791266808,4.4781756270746795,5.156376076838199,5.139614325574418,5.913741809365837,5.9336190288517185,5.630283156460169,5.629433828634827,5.7028529956560865,5.668154619832369,5.423791202884434,5.403061897960641,5.030882481277735,5.202064831051441,5.690326029405585,5.801800508516094,5.093947908168153,5.009009120036541,4.8541335397928975,5.3667841966221665,4.335270846674027,4.161057584287534,4.4344657084994346,4.471997746362336,4.1864379838531285,3.883638813941577,3.835828074532151,3.780880873130227,3.6938516460576096,3.808398205905324,4.1613021013362905,3.656154018896263,2.928748019722177,3.2097586354980874,3.1002972424552664,1.9228078118580987,0.0,3.2216548156953038,2.115762569329932,2.257533858890285,2.40159760896827,3.0015852517227883,2.530982783365267,0.0,0.0,3.275888953088131,3.150940548655886,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.40079927956602,3.9021273231180977,5.066816744627563,0.0,3.6582322283019275,3.8591230600065245,5.44565770823457,3.9584169260773154,4.177821296226738,5.24370961040091,4.434299539417024,4.434976035160266,4.591885116931127,4.4202966978657905,4.5834059259677495,4.741381811691991,4.833097006066351,4.529744601189114,5.5603444516464196,5.045344846150757,5.5576399193084125,5.225547384120245,5.30729889072025,5.279446626670943,5.196845728565189,5.0242715329669885,4.844623011225806,4.761533480301579,5.356432888037614,5.426251500609697,5.994678804985701,5.7179929356034815,5.2477437082782945,4.102469316264628,4.0816123124186205,4.147840379790418,4.176531823076997,3.818126180212315,3.7655296313340085,3.6341978556553967,3.3809799205546893,3.574322269883967,3.957600632916294,3.583690676253118,3.165293849043943,2.8739731832793836,2.8823552507192263,2.9422727920624427,2.8053443998284955,3.147215915473385,3.386602040106802,2.575244827099251,2.3632054114919137,3.0304468455624445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.920759185598565,5.053155068495978,3.778682910674661,5.082797745361789,4.891596592889587,4.496230984081612,4.319355267277771,3.8302154677710143,4.39090772238746,4.2852307825182105,4.417345015210104,4.428665053620074,4.565757408103729,4.639129675931549,4.602490491680723,5.351556299899909,5.0470965593787,4.967634727422928,4.97117269588383,5.068503642013514,5.000062131017052,4.767423411429286,4.5415306383401575,4.608685960299402,5.179507602101415,4.773296692439124,5.265530727375375,5.272081456833793,4.7639074698744,4.434832348213999,4.04479947731468,4.157900803661425,4.014346917243825,3.309616781901633,3.498287539171836,3.4653192557121906,3.301381793905277,3.4122991609980518,3.313820244387375,3.0646334740073655,3.018761201204609,2.983021935135889,2.833591192521329,3.3873294995433505,3.156225333919159,2.7853840877592817,2.7016728347200187,2.8989718513027483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5926642626332086,4.841367506549109,4.816188872725106,3.64664323509426,4.374110659194321,4.650231735231589,4.390122183188142,4.157704250266806,4.1828406907738795,4.184716654794033,4.30528203286308,4.433536580312782,4.437328714984734,4.487666250990956,4.457133682824978,5.199717036588366,5.16860788026992,4.86191114958788,4.8116252549992735,4.859729561764288,4.8807107437119095,4.578105128126946,4.469287898542388,4.461477191005207,5.0383947420636686,4.90043289856104,4.784890950183839,4.593120484471716,4.621894127798936,3.7896325248651643,3.908457990428893,4.169718367320747,3.9190562627868477,3.529686069934483,3.721159126512703,3.3802070919664353,3.427513807617426,3.324468637493587,3.2360019106069196,3.0093694057636236,3.0543974609339166,3.195227667814226,3.012541198763533,3.099108815610933,2.130313055048971,2.6627606024140085,2.916175863580408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.647335649833768,3.788668004596611,4.625753965599292,3.5508554146964078,3.9922346042630132,4.477292707556221,4.37860116746913,4.093349257266292,4.086774503739073,3.851655299002673,4.216262601907364,4.335169514714939,4.422930086262356,4.422930168518912,4.382418842364694,5.064595428807162,5.037930511223085,4.743292112915465,4.684500664425526,4.714486378504169,4.789121857157826,4.5071904484530005,4.3543807399866425,4.37870425072583,4.921647707722933,4.897554321857958,5.324717532622707,5.034263551180154,4.706122372506512,3.8860658279193268,3.955312494870563,4.153504896003456,3.8532359750989427,3.653604402525379,3.418089259892033,3.334317477027659,3.276706604081523,3.2006743025285327,3.392823794399549,3.107861364234645,3.0664980756958116,2.686125658863934,3.0937865983132573,2.499579311640343,2.1005150222335325,2.928664069755115,2.072662915020143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.501811758960101,3.808324577189622,3.9189094684721053,4.477960650767088,3.772176175656953,3.5864128244218607,4.320350842411261,4.353360618774166,4.373366204734557,3.9946088364231978,4.082403629411787,4.338184715620567,4.41213118669508,4.362777024747956,4.4155594447265365,4.963254287324022,4.971963168945013,4.645717092132415,4.560125347961611,4.516995144339398,4.679688836543004,4.415755507477111,4.268229979907488,4.318835719614278,4.845084247784847,4.7106393018652755,4.952745143161629,4.697902545242288,4.26812540025688,3.864897113604083,3.967926441524211,4.132355651393336,3.8284006124862775,3.3212149172250323,3.3001063116131686,3.3563155042564947,3.259311640643812,3.352333626127669,3.1921233101466373,3.099300896701062,2.8322574728038243,3.1443720743912404,2.5625810610357402,2.153418092663899,2.945312722851646,2.134355586608318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.384211279846925,3.7170046083010155,4.362593749737844,4.317082626685147,3.850256758364321,3.877135339249303,4.200429635096144,3.908749831442604,4.359158796367897,3.98684663320146,4.26529152679306,4.34516415291492,4.406779319082257,4.409826680985414,4.912914007954501,4.930410328558324,4.565276650893589,4.484625729423666,4.449736470410764,4.594652817073758,4.356949003600804,4.238229321988501,4.283705856704116,4.7534448898756425,4.691951590911109,4.664339952198256,4.614354285097623,4.1793402665217485,3.8259440813702486,3.9697469412573394,4.110369374610598,3.8024849165965144,3.3962765353975226,3.305625416054953,3.2661123758878645,3.2685253689544065,3.3516850262975115,3.1361120676381264,2.7838177347366915,3.187514565130978,2.828266676714575,2.6180557536458964,3.006774687750008,2.7070084810266515,2.1823387754893604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
